2024-02-12 10:15:54.419 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=36.1%
2024-02-12 10:16:04.782 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=36.0%
2024-02-12 10:16:15.144 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=36.0%
2024-02-12 10:16:25.507 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.8%
2024-02-12 10:16:35.869 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:16:46.232 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.8%
2024-02-12 10:16:56.594 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.8%
2024-02-12 10:17:06.957 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:17:17.320 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.7%
2024-02-12 10:17:27.682 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:17:38.045 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.7%
2024-02-12 10:17:48.408 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.7%
2024-02-12 10:17:58.771 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.6%
2024-02-12 10:18:09.133 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.5%
2024-02-12 10:18:19.496 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.6%
2024-02-12 10:18:29.858 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.6%
2024-02-12 10:18:40.221 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:18:50.584 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:19:00.946 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.5%
2024-02-12 10:19:11.305 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.4%
2024-02-12 10:19:21.667 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:19:32.030 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.4%
2024-02-12 10:19:42.393 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.4%
2024-02-12 10:19:52.755 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.4%
2024-02-12 10:20:03.118 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.3%
2024-02-12 10:20:13.481 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.3%
2024-02-12 10:20:23.843 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.2%
2024-02-12 10:20:34.206 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.2%
2024-02-12 10:20:44.568 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.1%
2024-02-12 10:20:54.929 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:21:05.291 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:21:15.654 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.2%
2024-02-12 10:21:26.017 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.2%
2024-02-12 10:21:36.379 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.1%
2024-02-12 10:21:46.742 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.1%
2024-02-12 10:21:57.105 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.1%
2024-02-12 10:22:07.467 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.0%
2024-02-12 10:22:17.830 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.1%
2024-02-12 10:22:28.193 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.0%
2024-02-12 10:22:38.555 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.0%
2024-02-12 10:22:48.918 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.9%
2024-02-12 10:22:59.281 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=35.0%
2024-02-12 10:23:09.644 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:23:20.006 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.8%
2024-02-12 10:23:30.369 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.9%
2024-02-12 10:23:40.732 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.8%
2024-02-12 10:23:51.094 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.7%
2024-02-12 10:24:01.457 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.8%
2024-02-12 10:24:11.820 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.7%
2024-02-12 10:24:22.182 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.7%
2024-02-12 10:24:32.545 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:24:42.907 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.7%
2024-02-12 10:24:53.270 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:25:03.625 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.5%
2024-02-12 10:25:13.987 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.6%
2024-02-12 10:25:24.350 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.6%
2024-02-12 10:25:34.709 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.6%
2024-02-12 10:25:45.072 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.5%
2024-02-12 10:25:55.435 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:26:05.797 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:26:16.160 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
2024-02-12 10:26:26.522 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
